Dia;Casos;Fallecidos
1;41;1
2;41;1
3;41;1
4;41;1
5;41;1
6;41;1
7;45;2
8;62;2
9;121;3
10;198;4
11;291;6
12;443;9
13;574;17
14;835;25
15;1297;41
16;1985;56
17;2761;80
18;4533;106
19;5995;132
20;7736;170
21;9720;213
22;11821;259
23;14411;304
24;17238;361
25;20471;425
26;24363;491
27;28060;564
28;31211;637
29;34598;723
30;37251;812
31;40236;909
32;42708;1017
33;44730;1114
34;59882;1368
35;63932;1381
36;66576;1524
37;68584;1666
38;70635;1772
39;72528;1870
40;74279;2006
41;74675;2121
42;75567;2239
43;76392;2348
44;77041;2445
45;77262;2595
46;77779;2666
47;78190;2718
48;78630;2747
49;78959;2791
50;79389;2838
51;79968;2873
52;80174;2915
53;80302;2946
54;80422;2984
55;80565;3015
56;80711;3045
57;80813;3073
58;80859;3100
59;80904;3123
60;80924;3140
61;80955;3162
62;80981;3173
63;80991;3180
64;81021;3194
65;81048;3204
66;81077;3218
67;81116;3231
68;81174;3242
69;81300;3253
70;81416;3261
71;81498;3267
72;81499;3267
73;81603;3276
74;81767;3283
75;81869;3287
76;81961;3293
77;82093;3298
78;82213;3301
79;82341;3306
80;82455;3310
81;82545;3314
82;82638;3321
83;82724;3327
84;82802;3331
85;82875;3335
86;82930;3338
87;83005;3340
88;83071;3340
89;83161;3342
90;83249;3344
91;83305;3345
92;83383;3349
93;83485;3349
94;83597;3351
95;83696;3351
96;83747;3352
97;83797;3352
98;84149;4642
99;84180;4642
100;84223;4642
101;84239;4642
102;84253;4642
103;84288;4642
104;84303;4642
105;84312;4642
106;84324;4642
107;84338;4642
108;84341;4643
109;84347;4643
110;84369;4643
111;84373;4643
112;84385;4643
113;84391;4643
114;84393;4643
115;84401;4643
116;84404;4643
117;84406;4643
118;84409;4643
119;84415;4643
120;84416;4643
121;84430;4643
122;84450;4643
123;84451;4644
124;84458;4644
125;84464;4644
126;84469;4644
127;84478;4644
128;84484;4645
129;84494;4645
130;84500;4645
131;84505;4645
132;84507;4645
133;84520;4645
134;84522;4645
135;84525;4645
136;84536;4645
137;84543;4645
138;84544;4645
139;84547;4645
140;84547;4645
141;84565;4645
142;84570;4645
143;84588;4645
144;84597;4645
145;84602;4645
146;84603;4645
147;84614;4645
148;84620;4645
149;84629;4645
150;84634;4645
151;84638;4645
152;84641;4645
153;84652;4645
154;84659;4645
155;84671;4645
156;84729;4645
157;84778;4645
158;84823;4645
159;84867;4645
160;84903;4645
161;84940;4645
162;84970;4645
163;84997;4646
164;85018;4646
165;85070;4646
166;85098;4647
167;85119;4647
168;85148;4648
169;85172;4648
170;85190;4648
171;85204;4648
172;85227;4648
173;85232;4648
174;85263;4648
