Dia;Casos;Fallecidos
1;2;0
2;2;0
3;2;0
4;2;0
5;2;0
6;2;0
7;2;0
8;2;0
9;2;0
10;3;0
11;3;0
12;3;0
13;3;0
14;3;0
15;3;0
16;3;0
17;3;0
18;3;0
19;3;0
20;3;0
21;3;0
22;3;0
23;3;0
24;4;0
25;11;2
26;124;2
27;229;7
28;322;12
29;400;12
30;650;17
31;888;21
32;1128;29
33;1689;35
34;2036;52
35;2502;80
36;3089;107
37;3858;148
38;4636;197
39;5883;234
40;7375;366
41;9172;463
42;10149;631
43;12462;827
44;15113;1016
45;17660;1268
46;21157;1441
47;24747;1809
48;27980;2158
49;31506;2505
50;35713;2978
51;41035;3407
52;47021;4032
53;53578;4827
54;53578;4827
55;59138;5476
56;63927;6077
57;69176;6820
58;74386;7505
59;80539;8165
60;86498;9136
61;92472;10023
62;97689;10781
63;101739;11591
64;105792;12430
65;110574;13157
66;115242;13917
67;119827;14681
68;124632;15362
69;128948;15889
70;132547;16525
71;135586;17129
72;139422;17669
73;143626;18281
74;147577;18851
75;152271;19470
76;156363;19901
77;159516;20465
78;162488;21069
79;165155;21647
80;168941;22172
81;172434;22747
82;175925;23227
83;178972;23660
84;181228;24114
85;183957;24648
86;187327;25085
87;189973;25549
88;192994;25969
89;195351;26384
90;197675;26644
91;199414;26977
92;201505;27359
93;203591;27682
94;205463;27967
95;207428;28236
96;209328;28710
97;210717;28884
98;211938;29079
99;213013;29315
100;214457;29684
101;215858;29958
102;217185;30201
103;218268;30395
104;219070;30560
105;219814;30739
106;221216;30911
107;222104;31106
108;223096;31368
109;223885;31610
110;224760;31763
111;225435;31908
112;225886;32007
113;226699;32169
114;227364;32330
115;228006;32486
116;228658;32616
117;229327;32735
118;229858;32785
119;230158;32877
120;230555;32955
121;231139;33072
122;231732;33142
123;232248;33229
124;232664;33340
125;233019;33415
126;233197;33475
127;233515;33530
128;233836;33601
129;234013;33689
130;234531;33774
131;234801;33846
132;234998;33899
133;235278;33964
134;235561;34043
135;235763;34114
136;236142;34167
137;236305;34223
138;236651;34301
139;236989;34345
140;237290;34371
141;237500;34405
142;237828;34448
143;238159;34514
144;238011;34561
145;238275;34610
146;238499;34634
147;238720;34657
148;238833;34675
149;239410;34644
150;239706;34678
151;239961;34708
152;240136;34716
153;240310;34738
154;240436;34744
155;240578;34767
156;240760;34788
